CANTOR;CÓD.;TÍTULO;INÍCIO DA LETRA;P;;
Adriana Calcanhoto;9450;ESQUADROS;Eu ando pelo mundo prestando atenção;13A;;
Adriana Calcanhoto;9846;MULHER SEM RAZÃO;Saia dessa vida de migalhas;14B;;
Adriana Calcanhoto;1119;SEU PENSAMENTO;A uma hora dessas;15B;;
Adriana Calcanhoto;1297;MARESIA;Meu amor me deixou levou minha identi;16D;;
Adriana Calcanhoto;1581;CANÇÃO DE NOVELA;Toalha molhada;18C;;
Adriana Calcanhoto;2798;METADE;Eu perco o chão;22A;;
Adriana Calcanhoto;4138;VAMBORA;Entre por essa porta agora;3E;;
Adriana Calcanhoto;4160;MAIS FELIZ;O nosso amor não vai parar;3F;;
Adriana Calcanhoto;4161;MENTIRAS;Nada ficou no lugar;3F;;
Adriana Calcanhoto;6126;DEVOLVA-ME;Rasgue as minhas cartas...;5B;;
Adriana Calcanhoto;6573;JUSTO AGORA;Eu ouvi dizer que você assim…;6E;;
Adriana Calcanhoto;6822;FICO ASSIM SEM VOCÊ;Avião sem asa fogueira sem brasa;7E;;
Adriana Marques;2408;AMOR PERFEITO;O vento sopra e leva a solidão e uma;EVAN04A;;
Adryana E A Rapaziada;4458;SÓ FALTAVA VOCÊ;Só faltava você...;4E;;
Adryana E A Rapaziada;6035;TUDO PASSA;Tudo na vida passa tudo na vida...;4G;;
Adryana E A Rapaziada;6121;AMOR PRA VALER;Já faz tanto tempo não consigo...;5B;;
Adryana E A Rapaziada;6257;FIM DE NOITE;Você nunca vai me ver sofrer…;5E;;
Adryana E A Rapaziada;6294;EU TE AMO (AND I LOVE HER);Foi tanto que eu te amei e não sabia…;5F;;
Adryana Ribeiro;1490;SAUDADE VEM;O que é que você foi fazer comigo;18A;;
Adryana Ribeiro;3789;E AGORA ?;E agora como é que eu vou ficar;2E;;
Aerosmith;4909;I DON'T WANT TO MISS A THING;I could stay awake just to hear you brea...;INT01, USA2A;;
Aerosmith;4879;CRAZY;Come here baby...;INT01, USA2B;;
Aerosmith;19165;CRYIN';There was a time when I was so brokenhearted;INT06A;;
Aerosmith;19172;DREAM ON;Every time that I look in the mirror;INT06A;;
Aerosmith;19505;JANIE'S GOT A GUN;Dum dum dum honey what have you done;INT08A;;
Aerosmith;19538;ANGEL;I'm alone yeah I don't know if;INT08B;;
Aerosmith;19625;PINK;Pink it's my new obsession ;INT08D;;
Aerosmith;19658;JADED;Hey j-j-jaded you got your mama's style;INT09A;;
Aerosmith;4678;AMAZING;I get the right ones out...;USAA;;
Afrodisíaco;7621;JA É;Ôh ôh ôh ôh ôh ôh incendeia;11E;;
Afrodite se Quiser;1434;O QUE QUE ELA TEM QUE EU NÃO TENHO;Não adianta;17C;;
Agepê;7381;ME LEVA;Tudo nasceu de brincadeira;10A;;
Agepê;7328;DE AMOR É BOM;Um lindo canto com um gosto de viver;10D;;
Agepê;7332;DE TODAS AS FORMAS;Me dê a posse do teu corpo;10E;;
Agepê;1455;LÁ VEM O TREM;Lá vem o trem no passo que o vento vem;17D;;
Agepê;1535;NINGUEM FAZ AMOR COMO VOCÊ;Se eu perdi a hora não se zangue comi;18B;;
Agepê;3848;MORO ONDE NÃO MORA NINGUÉM;Moro, onde não mora ninguém;2F;;
Agepê;3883;MOÇA CRIANÇA;O seu andar tem jeito de moça;2G;;
Agepê;6454;DEIXA EU TE AMAR;Quero ir na fonte do teu ser…;6B;;
Agepê;6938;MENINA DE CABELOS LONGOS;Ê ê ê... menina de cabelos longos…;8B;;
Aggeu Marques;15178;MÁQUINA DO TEMPO;Finjo não saber que o tempo passa logo;24A;;
Agnaldo Rayol;15521;ACORRENTADOS (ENCADENADOS);Talvez fosse melhor se não voltasses;26B;;
Agnaldo Rayol;15853;NÃO VOLTO MAIS;Se você quiser saber amor vou cuidar de mim;28B;;
Agnaldo Rayol;3737;A PRAIA;Em plena praia no céu azul brilhava o sol;2D;;
Agnaldo Rayol;3739;AMIGOS PARA SEMPRE;Eu não tenho nada pra dizer;2D;;
Agnaldo Rayol;6303;O PRINCÍPIO E O FIM;A minha vida em carinhos…;5F;;
Agnaldo Rayol;6362;AVE MARIA NO MORRO;Barracão de zinco…;5H;;
Agnaldo Rayol;7031;SANTA LUCIA;Sul mare luccica l'astro d'argento;INT01, ITA;;
Agnaldo Rayol e C.Church;7036;TORMENTO D'AMORE;Martirio tormento d'amore;INT01, ITA;;
Agnaldo Timóteo;7287;A GALERIA DO AMOR;Numa noite de insônia saí;10A;;
Agnaldo Timóteo;7282;A CASA DE IRENE;Os dias tristes;10B;;
Agnaldo Timóteo;7283;A CASA DO SOL NASCENTE;A casa dos meus sonhos é feita de ilu;10C;;
Agnaldo Timóteo;1688;MAMÃE ESTOU TÃO FELIZ;Mamãe estou tão feliz porque voltei ;19B;;
Agnaldo Timóteo;4370;QUEM É;Quem é que não sofre por alguém...;4C;;
Agnaldo Timóteo;4399;MEU GRITO;Se eu demoro mais aqui eu vou morrer...;4D;;
Agnaldo Timóteo;6503;OS VERDES CAMPOS DA MINHA TERRA;Se algum dia à minha terra eu voltar…;6C;;
Agnaldo Timóteo;6947;NÃO MEREÇO VOCÊ;Não mereço você sei que vou me…;8A;;
Agnaldo Timóteo;6959;OS BRUTOS TAMBÉM AMAM;Você jamais vai entender o amor que…;8A;;
Agnaldo Timóteo;6884;A NOIVA;Ave Maria… Branca e radiante…;8B;;
Agnaldo Timóteo;7166;LIVRE;Livre nasci como a brisa;9B;;
Agnela;1150;PODIA SER;Não sei porque você não quis ligar;15C;;
Agostinho Dos Santos;7301;AQUELES OLHOS VERDES;Aqueles olhos verdes translúcidos ser;10D;;
Agostinho dos Santos;9695;MANHÃ DE CARNAVAL;Manhã tão bonita manhã;14A;;
Agostinho Dos Santos;4221;A FELICIDADE;Tristeza não tem fim felicidade;3H;;
Agridoce (Pitty);2792;DANÇANDO;Eu sei que lá no fundo;22A;;
Agridoce (Pitty);15202;130 ANOS;Caro é transformar-se num arremendo de si próprio;24B;;
Aguinaldo Timóteo;15621;QUEM SERÁ?;Amor só se dá se amor se ganha também;26D;;
A-Ha;4973;TAKE ON ME;We're talking away...;INT01, USA2B;;
A-ha;19213;HUNTING HIGH AND LOW;Here I am and within the reach;INT06B;;
A-Ha;19400;YOU ARE THE ONE;You are the one who has done me in;INT07B;;
Ai;18319;YOU ARE MY STAR;Furuete iru watashi no te ni hajimete;JP6C;;
Ai;18486;BELIEVE;Dokoka tohku de koe ga kikoeru;JP7D;;
Ai Johji e Shiki Chinami;5103;AKAI GLASS;Kutibiru yossereba naze ka;JP1;;
Aikawa Nanase;5678;BYE BYE;Naze nante iwanai de iwanai...;JP3;;
Aikawa Nanase;5815;SWEET EMOTION;Hadashi de odorou volume agete...;JP3;;
Aikawa Nanasse;5645;YUME MIRU SHOJYOJYA IRARENAI;Goossen reijino…;JP2;;
Aiko;2031;KABUTO MUSHI;Nayanderu karada ga atsukute;JP4A;;
Air Supply;4935;LOST IN LOVE;I realize the best part of love...;INT01, USA2A;;
Air Supply;9105;EVEN THE NIGHTS ARE BETTER;I I was the lonely one…;INT02, 8D;;
Air Supply;9182;THE ONE THAT YOU LOVE;Now the night has gone…;INT02, 8E;;
Air Supply;5911;HERE I AM;Here I am;INT03, USA3A;;
Air Supply;19433;GOODBYE;I can see the pain living in your eyes;INT07C;;
Air Supply;19499;MAKING LOVE OUT OF NOTHING AT ALL;I know just how to whisper;INT08A;;
Air Supply ;9243;ALL OUT OF LOVE ; I'm lying alone ;INT02, A45;;
Akikawa Masafumi;2015;SEN NO KAZE NI NATTE;Watashi no ohaka no mae de;JP4A;;
Akimoto Junko;2011;MADINSON GUN NO KOI;Kotori tachi wa nani o sawagu no;JP4A;;
Akimoto Junko;2022;AI NO MAMA DE...;Soshite mata kisetsu wa utsuri yuku;JP4A;;
Akimoto Junko;2124;AME NO TABIBITO;Kareha ga aoba ni yomigaeru;JP4D;;
Akimoto Junko;18233;TASOGARE LOVE AGAIN;Tasogareta fuhkei wa sabishige na;JP6A;;
Akioka Shuji;2296;OTOKO NO TABIJI;Hito no isshoh ichido kiri;JP5C;;
Akioka Shuji;18432;SAKE BOJO;Kokoro ni kesenai hito ga iru sake de;JP7B;;
Akioka Shuji;18562;AIBOH ZAKE;Anna onna ga hoshi kereba;JP8B;;
Akundum;3563;EMACONHADA;Kaya erva danada, kaya erva danada;1D;;
Al Jarreau;9193;WE'RE IN THIS LOVE TOGETHER;It's like a diamond ring it's a precious…;INT02, 8F;;
Al Jarreau;5942;MORNIN';Mornin' mister Radio;INT03, USA3D;;
Al Martino;4592;LOVE IS BLUE;Blue blue my world is blue;USAE;;
Al Stewart;4806;YEAR OF THE CAT;On a morning from a Bogart movie...;USAG;;
Alan;18485;BALLAD ~NAMONAKI KOI NO UTA~;Kizu tsuita tsubasa de kimi wa yuku;JP7D;;
Alan;18580;KUON NO KAWA;Moh soko ni wa kaze no ne ga hibiki;JP8B;;
Alan Jackson;9026;EVERYTHING I LOVE;Coffee keeps me up and I can't sleep;INT01, A42;;
Alan Jackson;9036;I'LL TRY;Here we are talkin' bout forever;INT01, A42;;
Alan Jackson;9041;LIVIN' ON LOVE;Two young people without a thing;INT01, A43;;
Alan Jackson;9139;MIDNIGHT IN MONTGOMERY;Midnight in Montgomery silver eagle…;INT02, 8F;;
Alan Parson Project;4888;EYE IN THE SKY;Don't think sorry's easily said...;INT01, USA2A;;
Alan Parson's Project;9187;TIME;Time flowin' like a river…;INT02, 8F;;
Alanis Morissette;4850;YOU OUGHTA KNOW;I want you to know that I'm happy…;INT01, A41;;
Alanis Morissette;4922;IRONIC;Hey yeah yeah yeah Oh, oh yeah...;INT01, USA2A;;
Alanis Morissette;4997;YOU LEARN;Oooh, oooh-do, do...;INT01,USA2C;;
Alanis Morissette;2570;THAT I WOULD BE GOOD;That I would be good even if I did not;INT04B;;
Alanis Morissette;19100;HAND IN MY POCKET;I'm broke but I'm happy I'm poor but;INT05C;;
Alanis Morissette;19147;THANK U;How 'bout getting off of these antibiotics;INT05D;;
Alanis Morissette;19354;UNINVITED;Like anyone would be I am flattered by you;INT07A;;
Alannah Myles;2602;BLACK VELVET;Mississippi in the middle of the dry s;INT04C;;
Alavontê;15607;Ê LÁ EM CASA;Ela atravessa a rua e vem falar comigo mas;26D;;
Albert Hammond;9128;IT NEVER RAINS IN SOUTHERN CALIFORNIA;Got on a board a west bound seven forty…;INT02, 8E;;
Albert Hammond;4626;FOR THE PEACE OF ALL MANKIND;You turn me on so bad that there;USAF;;
Alceu Valença;1120;SOLIDÃO;A solidão é fera a solidão devora;15B;;
Alceu Valença;15223;DONA DE 7 COLINAS;Ela é dona de sete colinas debruçadas na beira do mar;24B;;
Alceu Valença;3880;LA BELLE DE JOUR;Ah! eh! ah! eh! La belle de jour;2G;;
Alceu Valença;3903;ANUNCIAÇÃO;Na bruma leve das paixões;2H;;
Alceu Valença;4071;CORAÇÃO BOBO;Meu coração tá batendo;3D;;
Alceu Valença;6452;COMO DOIS ANIMAIS;Uma moça bonita de olhar agateado…;6B;;
Alceu Valença;3277;TROPICANA;Da manga rosa quero o gosto e o sumo;M;;
Alcione;9282;MENINO SEM JUÍZO;Sabe meu menino sem juízo;12B;;
Alcione;9286;MEU VÍCIO É VOCÊ;Meu cigarro é o perfume do mato;12D;;
Alcione;9337;SE NÃO É AMOR;Se não é amor;12D;;
Alcione;9316;PIOR É QUE EU GOSTO;De repente é mais uma vez;12E;;
Alcione;1165;EU VOU PRA LAPA;É ela a dama da noite;16A;;
Alcione;1600;O QUE EU FAÇO AMANHÃ?;De repente você vem dizer;18C;;
Alcione;1604;FAZ UMA LOUCURA POR MIM;Faz uma loucura por mim;18D;;
Alcione;1624;QUEM É VOCÊ?;Quem é você;18D;;
Alcione;1795;QUALQUER DIA DESSES;Qualquer dia desses ;19D;;
Alcione;3060;DELÍRIO DE AMOR;Você acaba dando um jeito;1C;;
Alcione;3169;NÃO DEIXE O SAMBA MORRER;Não deixe o samba morrer;1D;;
Alcione;3263;SUFOCO;Não sei se vou aturar esses seus abusos;1D;;
Alcione;3270;TÔ COM SAUDADE;Tô com saudade amor já não suporto;1J;;
Alcione;1979;GAROTO MAROTO;Você faz de conta que quer meu perdão;21A;;
Alcione;2694;NÃO CHORE, NÃO;Pra quê chorar a vida é mesmo assim;21B;;
Alcione;2797;MELHORES MOMENTOS;Como posso explicar para o meu ;22A;;
Alcione;15022;A PAIXÃO TEM MEMÓRIA;Lá vem você de novo procurar por mim;23A;;
Alcione;16274;NEM MORTA;Eu só fico em teus braços porque não tenho;30D;;
Alcione;4196;GOSTOSO VENENO;Esse amor me envenena;3G;;
Alcione;6246;ALÉM DA CAMA;De amor eu não morro…;5E;;
Alcione;6521;A LOBA;Sou doce dengosa polida…;6D;;
Alcione;6626;O MUNDO É DE NÓS DOIS;Esse nosso amor é a perfeição…;6F;;
Alcione;6759;VOCÊ ME VIRA A CABEÇA;Você me vira a cabeça me tira...;7C;;
Alcione;6940;MEU ÉBANO;É você e um negão de tirar o chapéu…;8C;;
Alcione;7186;NA HORA DA RAIVA;Na hora da raiva eu lhe disse tudo;9C;;
Alcione;7232;RIO ANTIGO;Quero o bate-papo na esquina;9D;;
Alcione;7201;O SURDO;Amigo que ironia desta vida;9F;;
Alcione - Gonzaguinha;15739;MESA DE BAR;Mesa de bar é lugar pra todo mundo que é ;27C;;
Alcione E Alexandre Pires;4079;ESTRANHA LOUCURA;Minha estranha loucura;3D;;
Alda Célia;2402;A COLHEITA;Voz do que clama em meio ao deserto;EVAN04A;;
Alda Célia;2426;ÓLEO DE ALEGRIA;O Espírito de Deus nos ungiu pra;EVAN04A;;
Alda Célia;2428;PODER DA ORAÇÃO;Eu creio no poder dos joelhos que se;EVAN04A;;
Alda Célia;2439;VOAR COMO A ÁGUIA;É tempo de quebrar cadeias restaurar;EVAN04A;;
Alda Célia;2462;MOSTRA-ME TUA GLÓRIA;Santifica-me purifica-me Senhor;EVAN04B;;
Alda Célia;7755;CHUVA DE AVIVAMENTO;Nos últimos dias diz o Senhor;EVB;;
Alda Célia;7875;SOPRA ESPÍRITO DE DEUS;Sopra dos quatro cantos Espírito;EVB;;
Alejandro Sanz;4105;CORAZÓN PARTÍO;Tiritas pá este corazón partío;3E;;
Alem do Véu;2424;NASCI PRA VENCER;Não posso deixar meu sonho se perder;EVAN04A;;
Além do Véu;2965;ALÉM DO VÉU;Procurei de muitas formas alegrar seu;EVAN04D;;
Além do Véu;2980;FILHOS DE DEUS;Algo em nós nos torna diferentes;EVAN04D;;
Alesis Brothers;9007;BABY COME BACK;Spending all my nights all my money;INT01, A42;;
Alesis ;9242;ALL FOR A REASON ; I know it's late and I'm a little drunk ;INT02, A45;;
Alex e Ronaldo;16235;SEXTA FEIRA SUA LINDA;Fim de semana começou;30C;;
Alexandre Peixe;9569;VOCÊ VAI PIRAR;Você vai pirar vai enlouquecer;13B;;
Alexandre Peixe ;1077;EU SOU MAIS VOCÊ ;Ô ô... ô ô ô ô;15A;;
Alexandre Pires;7696;SE ELA ME AMASSE;Se ela me amasse;11B;;
Alexandre Pires;7603;EU TIRO A SUA ROUPA;Às vezes em silêncios a emoção me fa;11C;;
Alexandre Pires;7697;SEM TEU AMOR NADA É IGUAL;Me pego remexendo em suas coisas;11C;;
Alexandre Pires;9575;A DEUS EU PEÇO;Que a menina dos meus olhos;14A;;
Alexandre Pires;1210;CIGANO;Era lindo o nosso amor ;16B;;
Alexandre Pires;1472;SÓ POR UM MOMENTO;Olha aqui, não fique esperando;17D;;
Alexandre Pires;1532;MULHER DAS ESTRELAS;Ela canta demais;18B;;
Alexandre Pires;1558;LEVE TUDO COM VOCÊ;Como pude mentir o meu bem eu traí;18B;;
Alexandre Pires;1786;ERRO MEU;Se o amor bater deixa entrar ;19D;;
Alexandre Pires;2877;SISSI;Laiá laiá laiá... Ai que dede que dede que delícia ;22C;;
Alexandre Pires;15834;QUEM É VOCÊ;Eu descobri quem você é posso estar equivocado mas;28A;;
Alexandre Pires;6198;USTED SE ME LLEVÓ LA VIDA;Usted se me llevó la vida…;5C;;
Alexandre Pires;6251;É POR AMOR;A noite de lua cheia é quase…;5E;;
Alexandre Pires;6302;NECESSIDADE;Beijar tua boca é a minha aventura…;5F;;
Alexandre Pires;6443;A MUSA DAS MINHAS CANÇÕES;No palco de um pequeno bar…;6B;;
Alexandre Pires;6640;VEM ME AMAR (AMAME);Vem aqui doce amor…;6F;;
Alexandre Pires;6649;BUM, BUM, BUM;Amiga olha só como mudou a vida...;7A;;
Alexandre Pires;6816;COISA DO DESTINO;Isso é coisa do destino eu sofri;7E;;
Alexandre Pires;6988;TIRA ELA DE MIM;Tira a lembrança que ela deixou…;8C;;
Alexandre Pires ;1073;DESSA VEZ EU ME RENDO ;Dizem que amor não mata mas judia da;15A;;
Alexandre Pires - Seu Jorge;15408;EU SOU O SAMBA;Coisa linda muito prazer hoje você vai;25C;;
Alexandre Pires e Daniel;1106;CHEGUEI TARDE DEMAIS;Não faz não quer não vem não fala nada;15B;;
Alexandre Pires E Fat Family;6764;AO SENTIR O AMOR;A sensação de ver você chegar...;7D;;
Alexandre Pires e Revelação;9655;DELÍRIOS DE AMOR;Me lembro o dia que cheguei;14A;;
Aliados;1153;SORRINDO;Ontem um sonho acabou;15C;;
Aliados;15446;ÁGUAS PASSADAS;Deixa rolar deixa fluir;25D;;
Aliados;15455;ESPERANÇA;Enquanto ela estiver aqui;25D;;
Alice;2266;IMA WA MOH DARE MO;Ima wa moh dare mo aishitakunai no;JP5B;;
Alice ;5117;FUYU NO INAZUMA;Anata wa inazuma no youni;JP1;;
Alice Cooper;9144;NO MORE MR. NICE GUY;I used to be such a sweet sweet thing…;INT02, 8D;;
Alice Cooper;2526;I NEVER CRY;If there's a tear on my face;INT04A;;
Alice Cooper;19699;HOW YOU GONNA SEE ME NOW;Dear Darlin' surprised to hear from me;INT09B;;
Alicia keys;4890;FALLIN';I keep on fallin' in and out love with...;INT01, USA2B;;
Alicia Keys;2568;NO ONE;I just want you close;INT04B;;
Alicia Keys;19207;GIRL ON FIRE;She's just a girl and she's on fire;INT06B;;
Alicia Keys;19529;IF I AIN'T GOT YOU;Some people live for the fortune;INT08B;;
Alien Ant Farm;4966;SMOOTH CRIMINAL;Ough! ...;INT01,USA2C;;
Aline Barros;9527;RECOMEÇAR;Pai;13E;;
Aline Barros;1809;RESSUSCITA-ME;Mestre eu preciso de um milagre;20A;;
Aline Barros;1878;SONDA-ME, USA-ME;Sonda-me Senhor e me conhece;20B;;
Aline Barros;15488;DEUS EXTRAORDINÁRIO;Em toda história não se ouviu falar de um;26A;;
ALINE BARROS;5605;CONSAGRAÇÃO;Ao Rei dos Reis consagro tudo...;EVA;;
ALINE BARROS;5606;DEUS DO IMPOSSÍVEL;O meu Deus é o Deus do Impossível...;EVA;;
ALINE BARROS;5610;FICO FELIZ;U u... Fico feliz em vir em Tua casa...;EVA;;
ALINE BARROS;5615;JESUS CRISTO MUDOU MEU VIVER;U ei ê... Jesus Cristo mudou meu viver...;EVA;;
ALINE BARROS;5616;JESUS FAZ PARTE;É eu pude crer e ver o seu poder...;EVA;;
Aline Barros;2413;CARPINTEIRO;Um carpinteiro um homem simples;EVAN04A;;
Aline Barros;2429;PODER PRA SALVAR;Todos necessitam de um amor perfeito;EVAN04A;;
Aline Barros;2438;VENTO DO ESPÍRITO;O vento sopra só ele sabe para onde;EVAN04A;;
Aline Barros;2468;REI MEU;Toda Terra está cheia da tua glória;EVAN04B;;
Aline Barros;2469;RENDIDO ESTOU;Toma-me rendido estou;EVAN04B;;
Aline Barros;2948;AO ÚNICO;Ao Único que é digno de receber;EVAN04C;;
Aline Barros;2499;SANTIDADE;O meu melhor quero Te dar me derramar;EVAN04C;;
Aline Barros;2964;ÁGUAS DO TRONO;Águas que fluem do coração do Senhor;EVAN04D;;
Aline Barros;2967;APAIXONADO;Você mudou meu jeito de pensar;EVAN04D;;
Aline Barros;7771;DIGNO É O SENHOR;Graças eu te dou Pai pelo preço que pa;EVB;;
Aline Barros;7866;RENOVA-ME SENHOR;Renova-me renova-me renova-me Senhor;EVD;;
Aline Barros (Crianças);2450;DANÇA DO PINGUIM;É assim assim;EVAN04B;;
Aline Barros (Crianças);2455;HOMENZINHO TORTO;Havia um homenzinho torto;EVAN04B;;
Aline Barros (Crianças);2465;PULA-PULA;Hoje é dia de brincar pular dançar ;EVAN04B;;
Aline Calixto;2867;FLOR MORENA;Flor morena que manda no meu coração;22C;;
Alinne Rosa;15650;COMPLICAMOS DEMAIS;Se eu fechar meus olhos posso te ver;27A;;
Alisson e Ryan;1388;NÃO SOU SEU BRINQUEDO;Pára dá um tempo vê se larga do meu;17B;;
All-4-One;4669;I SWEAR;I swear;USAA;;
Allen Stone;19231;SLEEP;Spend my nights howlin' at the moon;INT06B;;
Almir Guinéto;16189;MEL NA BOCA;Ohhh quanta mentira suportei ;30B;;
Almir Rogério;1508;MOTOQUEIRO;Tudo certo para o nosso casamento;18A;;
Almir Rogério;3877;FUSCÃO PRETO;Me disseram que ela foi vista com;2G;;
Almir Sater;9559;VARANDAS;A noite é um mistério que eu finjo co;13D;;
Almir Sater;9509;PEÃO;Diga você me conhece eu já fui boiad;13E;;
Almir Sater;1425;HORA DO CLARÃO;Ana Raio e Zé Trovão diz a sabedoria;17C;;
Almir Sater;2939;TRAVESSIA DO ARAGUAIA;Naquele estradão deserto uma boiada;22D;;
